centerSum:5865.12 index:1 parent:-1 branch:-1 radius:975.344 dataCount:60000 left:2 right:4335
centerSum:5974.18 index:2 parent:1 branch:0 radius:997.048 dataCount:24544 left:3 right:1528
centerSum:7961.89 index:3 parent:2 branch:0 radius:923.551 dataCount:8819 left:4 right:677
centerSum:8033.28 index:4 parent:3 branch:0 radius:921.991 dataCount:3887 left:5 right:378
centerSum:7992.53 index:5 parent:4 branch:0 radius:941.572 dataCount:2129 left:6 right:99
centerSum:8117.41 index:6 parent:5 branch:0 radius:928.606 dataCount:528 left:7 right:40
centerSum:7676.96 index:7 parent:6 branch:0 radius:836.877 dataCount:178 left:8 right:23
centerSum:7416.98 index:8 parent:7 branch:0 radius:851.581 dataCount:86 left:9 right:14
centerSum:7303.1 index:9 parent:8 branch:0 radius:756.422 dataCount:31 left:10 right:13
centerSum:7323.86 index:10 parent:9 branch:0 radius:714.489 dataCount:22 left:11 right:12
centerSum:7237.2 index:11 parent:10 branch:0 radius:597.541 dataCount:5 left:-1 right:-1
centerSum:7349.35 index:12 parent:10 branch:1 radius:729.781 dataCount:17 left:-1 right:-1
centerSum:7252.33 index:13 parent:9 branch:1 radius:751.986 dataCount:9 left:-1 right:-1
centerSum:7481.16 index:14 parent:8 branch:1 radius:709.545 dataCount:55 left:15 right:20
centerSum:7310.86 index:15 parent:14 branch:0 radius:719.301 dataCount:28 left:16 right:17
centerSum:7587.63 index:16 parent:15 branch:0 radius:565.605 dataCount:8 left:-1 right:-1
centerSum:7200.15 index:17 parent:15 branch:1 radius:590.762 dataCount:20 left:18 right:19
centerSum:7096.11 index:18 parent:17 branch:0 radius:560.85 dataCount:9 left:-1 right:-1
centerSum:7285.27 index:19 parent:17 branch:1 radius:574.959 dataCount:11 left:-1 right:-1
centerSum:7657.78 index:20 parent:14 branch:1 radius:637.545 dataCount:27 left:21 right:22
centerSum:7552.63 index:21 parent:20 branch:0 radius:599.996 dataCount:8 left:-1 right:-1
centerSum:7702.05 index:22 parent:20 branch:1 radius:641.822 dataCount:19 left:-1 right:-1
centerSum:7919.98 index:23 parent:7 branch:1 radius:853.277 dataCount:92 left:24 right:31
centerSum:7894.29 index:24 parent:23 branch:0 radius:763.022 dataCount:42 left:25 right:28
centerSum:8104.86 index:25 parent:24 branch:0 radius:618.965 dataCount:21 left:26 right:27
centerSum:8293.44 index:26 parent:25 branch:0 radius:552.597 dataCount:16 left:-1 right:-1
centerSum:7501.4 index:27 parent:25 branch:1 radius:396.568 dataCount:5 left:-1 right:-1
centerSum:7683.71 index:28 parent:24 branch:1 radius:749.265 dataCount:21 left:29 right:30
centerSum:7104 index:29 parent:28 branch:0 radius:526.404 dataCount:4 left:-1 right:-1
centerSum:7820.12 index:30 parent:28 branch:1 radius:686.29 dataCount:17 left:-1 right:-1
centerSum:7941.56 index:31 parent:23 branch:1 radius:829.579 dataCount:50 left:32 right:39
centerSum:8307.45 index:32 parent:31 branch:0 radius:770.529 dataCount:38 left:33 right:34
centerSum:7242.88 index:33 parent:32 branch:0 radius:578.015 dataCount:8 left:-1 right:-1
centerSum:8591.33 index:34 parent:32 branch:1 radius:672.352 dataCount:30 left:35 right:36
centerSum:7958.8 index:35 parent:34 branch:0 radius:672.581 dataCount:10 left:-1 right:-1
centerSum:8907.6 index:36 parent:34 branch:1 radius:572.39 dataCount:20 left:37 right:38
centerSum:9470.55 index:37 parent:36 branch:0 radius:504.237 dataCount:9 left:-1 right:-1
centerSum:8447 index:38 parent:36 branch:1 radius:509.41 dataCount:11 left:-1 right:-1
centerSum:6782.92 index:39 parent:31 branch:1 radius:587.328 dataCount:12 left:-1 right:-1
centerSum:8341.4 index:40 parent:6 branch:1 radius:922.935 dataCount:350 left:41 right:54
centerSum:8141.45 index:41 parent:40 branch:0 radius:862.691 dataCount:73 left:42 right:43
centerSum:7224.81 index:42 parent:41 branch:0 radius:649.777 dataCount:16 left:-1 right:-1
centerSum:8398.75 index:43 parent:41 branch:1 radius:756.887 dataCount:57 left:44 right:47
centerSum:7786.96 index:44 parent:43 branch:0 radius:778.388 dataCount:25 left:45 right:46
centerSum:7343.86 index:45 parent:44 branch:0 radius:725.409 dataCount:7 left:-1 right:-1
centerSum:7959.28 index:46 parent:44 branch:1 radius:628.53 dataCount:18 left:-1 right:-1
centerSum:8876.72 index:47 parent:43 branch:1 radius:688.841 dataCount:32 left:48 right:53
centerSum:9186.3 index:48 parent:47 branch:0 radius:684.253 dataCount:27 left:49 right:50
centerSum:8334.5 index:49 parent:48 branch:0 radius:560.093 dataCount:6 left:-1 right:-1
centerSum:9429.67 index:50 parent:48 branch:1 radius:606.103 dataCount:21 left:51 right:52
centerSum:8950.33 index:51 parent:50 branch:0 radius:553.814 dataCount:6 left:-1 right:-1
centerSum:9621.4 index:52 parent:50 branch:1 radius:558.603 dataCount:15 left:-1 right:-1
centerSum:7205 index:53 parent:47 branch:1 radius:538.503 dataCount:5 left:-1 right:-1
centerSum:8394.1 index:54 parent:40 branch:1 radius:856.97 dataCount:277 left:55 right:92
centerSum:8502.79 index:55 parent:54 branch:0 radius:778.211 dataCount:218 left:56 right:77
centerSum:8646.04 index:56 parent:55 branch:0 radius:754.495 dataCount:129 left:57 right:68
centerSum:8638.38 index:57 parent:56 branch:0 radius:764.874 dataCount:66 left:58 right:61
centerSum:8706.41 index:58 parent:57 branch:0 radius:658.888 dataCount:22 left:59 right:60
centerSum:8955.83 index:59 parent:58 branch:0 radius:644.524 dataCount:12 left:-1 right:-1
centerSum:8407.1 index:60 parent:58 branch:1 radius:557.82 dataCount:10 left:-1 right:-1
centerSum:8604.36 index:61 parent:57 branch:1 radius:677.534 dataCount:44 left:62 right:63
